종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률,동일업종 PER,동일업종 등락률,PERlEPS(2021.09),PBRlBPS (2021.09),배당수익률l2020.12,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.08),PBRlBPS (2021.08),배당수익률l2020.11
한미사이언스,53900.0,500.0,-0.92%,53700.0,53800.0,52543.0,2834.0,59986.0,2021-11-25,한미사이언스,008930,,,,,,,,,,,,,,,,,"3조  6,344  억원",코스피 90위,67304611,500원  l  1주,67304611,1074095,1.60%,N/A  l  N/A,"96,600  l  53,600",118.94배  l  454원,N/A  l  N/A,"5.29배  l  10,208원",,86.54배,+0.08%,,,0.36%,,,,,
팜젠사이언스,10500.0,100.0,-0.94%,10450.0,10500.0,132629.0,1398.0,338485.0,2021-11-25,팜젠사이언스,004720,,,,,,,,,,,,,,,,,"1,552  억원",코스피 698위,14712933,500원  l  1주,14712933,299426,2.04%,N/A  l  N/A,"18,600  l  8,450",,N/A  l  N/A,,,86.54배,+0.10%,"6.09배  l  1,732원","1.42배  l  7,419원",,,,,,
종근당바이오,38300.0,400.0,-1.03%,38300.0,38350.0,7930.0,304.0,8624.0,2021-11-25,종근당바이오,063160,,,,,,,,,,,,,,,,,"2,107  억원",코스피 609위,5485962,"2,500원  l  1주",5485962,78600,1.43%,N/A  l  N/A,"119,000  l  38,000",,N/A  l  N/A,,,86.54배,+0.08%,"N/A  l  -1,227원","1.30배  l  29,501원",0.52%,,,,,
콜마비앤에이치 *,33650.0,350.0,-1.03%,33600.0,33650.0,20785.0,702.0,43662.0,2021-11-25,콜마비앤에이치,200130,1584.0,241.0,,15.21,,,,,,641.0,53.01,,,,,,"9,956  억원",코스닥 69위,29543558,500원  l  1주,29543558,824644,2.79%,"4.00매수  l  52,500","58,000  l  32,500","13.62배  l  2,474원",N/A  l  N/A,"2.81배  l  12,001원",,86.54배,+0.10%,,,0.95%,,,,,
삼일제약,7620.0,80.0,-1.04%,7610.0,7620.0,16015.0,122.0,27901.0,2021-11-25,삼일제약,000520,,,,,,,,,,,,,,,,,"1,032  억원",코스피 845위,13537283,500원  l  1주,13537283,256858,1.90%,N/A  l  N/A,"11,700  l  7,600",N/A  l  -100원,N/A  l  N/A,"1.37배  l  5,559원",,86.54배,+0.08%,,,0.98%,,,,,
일양약품,28650.0,300.0,-1.04%,28650.0,28700.0,64544.0,1857.0,72517.0,2021-11-25,일양약품,007570,,,,,,,,,,,,,,,,,"5,478  억원",코스피 345위,19085664,"2,500원  l  1주",19085664,1641555,8.60%,N/A  l  N/A,"84,300  l  28,250",,N/A  l  N/A,,,86.54배,+0.11%,48.48배  l  592원,"2.44배  l  11,785원",0.42%,,,,,
KPX생명과학 *,6400.0,70.0,-1.08%,6380.0,6390.0,50651.0,326.0,66161.0,2021-11-25,KPX생명과학,114450,,,,,,,,,,,,,,,,,960  억원,코스닥 976위,15000000,500원  l  1주,15000000,65985,0.44%,N/A  l  N/A,"18,200  l  6,420",N/A  l  -129원,N/A  l  N/A,"1.64배  l  3,909원",,86.54배,+0.11%,,,,,,,,
유유제약1우,9070.0,100.0,-1.09%,9030.0,9080.0,3741.0,33.0,2552.0,2021-11-25,유유제약1우,000225,,,,,,,,,,,,,,,,,206  억원,코스피 1244위,2266930,"1,000원  l  1주",2266930,44173,1.95%,N/A  l  N/A,"27,200  l  4,925",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -52원,"1.37배  l  6,642원",1.21%,,,,,
대봉엘에스 *,8090.0,90.0,-1.10%,8130.0,8140.0,5367.0,44.0,12419.0,2021-11-25,대봉엘에스,078140,,,,,,,,,,,,,,,,,897  억원,코스닥 1025위,11086579,500원  l  1주,11086579,237284,2.14%,N/A  l  N/A,"13,000  l  7,860",17.03배  l  475원,N/A  l  N/A,"0.84배  l  9,685원",,86.54배,+0.11%,,,0.62%,,,,,
대웅제약,134000.0,1500.0,-1.11%,134000.0,134500.0,12246.0,1644.0,16852.0,2021-11-25,대웅제약,069620,2963.0,194.0,136.0,6.55,4.61,,,,,,,51173.0,2.65,,,,"1조  5,526  억원",코스피 177위,11586575,"2,500원  l  1주",11586575,790547,6.82%,"4.00매수  l  206,250","286,500  l  100,500",,307.00배  l  436원,,,86.54배,+0.10%,134.54배  l  996원,"2.72배  l  49,219원",0.45%,,,,,
경남제약 *,5240.0,60.0,-1.13%,5240.0,5250.0,35405.0,185.0,29947.0,2021-11-25,경남제약,053950,,,,,,,,,,,,,,,,,"1,051  억원",코스닥 913위,20049565,500원  l  1주,20049565,284897,1.42%,N/A  l  N/A,"10,500  l  5,180",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -285원,"1.41배  l  3,728원",,,,,,
테라젠이텍스 *,5960.0,70.0,-1.16%,5960.0,5970.0,85368.0,510.0,50989.0,2021-11-25,테라젠이텍스,066700,,,,,,,,,,,,,,,,,"1,935  억원",코스닥 529위,32474435,500원  l  1주,32474435,478425,1.47%,N/A  l  N/A,"10,850  l  6,000",,N/A  l  N/A,,,86.54배,+0.08%,N/A  l  -278원,"0.82배  l  7,274원",,,,,,
JW중외제약2우B,58500.0,700.0,-1.18%,58400.0,59000.0,45.0,2.0,112.0,2021-11-25,JW중외제약2우B,001067,,,,,,,,,,,,,,,,,54  억원,코스피 1660위,93028,"2,500원  l  1주",93028,494,0.53%,N/A  l  N/A,"99,900  l  48,000",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -52원,"6.40배  l  9,135원",0.55%,,,,,
네오이뮨텍(Reg.S) *,9980.0,120.0,-1.19%,9980.0,9990.0,572628.0,5715.0,1347989.0,2021-11-25,네오이뮨텍(Reg.S),950220,,,,,,,,,,,,,,,,,"9,833  억원",코스닥 71위,98532010,,98532010,8665438,8.79%,N/A  l  N/A,"17,450  l  9,350",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -526원,"5.63배  l  1,772원",,,,,,
삼천당제약 *,45100.0,550.0,-1.20%,45150.0,45200.0,83581.0,3775.0,116949.0,2021-11-25,삼천당제약,000250,,,,,,,,,,,,,,,,,1조  268  억원,코스닥 67위,22768041,500원  l  1주,22768041,1294444,5.69%,N/A  l  N/A,"95,700  l  40,000",,N/A  l  N/A,,,86.54배,+0.08%,N/A  l  -249원,"5.60배  l  8,048원",,,,,,
삼성제약,4940.0,60.0,-1.20%,4945.0,4955.0,214253.0,1066.0,287233.0,2021-11-25,삼성제약,001360,,,,,,,,,,,,,,,,,"3,318  억원",코스피 471위,67162079,500원  l  1주,67162079,3866770,5.76%,N/A  l  N/A,"13,450  l  3,710",N/A  l  -629원,N/A  l  N/A,"2.25배  l  2,193원",,86.54배,+0.11%,,,,,,,,
옵티팜 *,9760.0,120.0,-1.21%,9670.0,9710.0,33256.0,324.0,269652.0,2021-11-25,옵티팜,153710,,,,,,,,,,,,,,,,,"1,422  억원",코스닥 716위,14589458,500원  l  1주,14589458,43643,0.30%,N/A  l  N/A,"25,400  l  9,000",,N/A  l  N/A,,,86.54배,+0.08%,N/A  l  -259원,"4.56배  l  2,138원",,,,,,
한국유니온제약 *,9730.0,120.0,-1.22%,9780.0,9790.0,20884.0,205.0,18009.0,2021-11-25,한국유니온제약,080720,,,,,,,,,,,,,,,,,773  억원,코스닥 1122위,7903728,500원  l  1주,7903728,145250,1.84%,N/A  l  N/A,"22,500  l  9,620",,N/A  l  N/A,,,86.54배,+0.08%,N/A  l  -752원,"1.24배  l  7,883원",,,,,,
서울제약 *,6300.0,80.0,-1.25%,6300.0,6310.0,15300.0,96.0,10621.0,2021-11-25,서울제약,018680,,,,,,,,,,,,,,,,,537  억원,코스닥 1314위,8524523,500원  l  1주,8524523,389122,4.56%,N/A  l  N/A,"12,850  l  6,310",,N/A  l  N/A,,,86.54배,+0.10%,"N/A  l  -1,253원","2.21배  l  2,847원",,,,,,
SK바이오팜,98200.0,1300.0,-1.31%,97800.0,97900.0,114114.0,11212.0,122616.0,2021-11-25,SK바이오팜,326030,342.0,-426.0,-622.0,-124.56,-181.87,,,,,,,4529.0,21.97,,,,"7조  6,904  억원",코스피 50위,78313250,500원  l  1주,78313250,4737956,6.05%,"3.80매수  l  136,000","192,500  l  91,400",,-321.00배  l  -306원,,,86.54배,+0.08%,N/A  l  -516원,"19.41배  l  5,058원",,,,,,
바이온 *,1060.0,15.0,-1.40%,1055.0,1060.0,118473.0,127.0,198554.0,2021-11-25,바이온,032980,,,,,,,,,,,,,,,,,709  억원,코스닥 1176위,66900777,500원  l  1주,66900777,1434693,2.14%,N/A  l  N/A,"1,740  l  1,000",N/A  l  -69원,N/A  l  N/A,1.64배  l  647원,,86.54배,+0.11%,,,,,,,,
지엘팜텍 *,907.0,13.0,-1.41%,900.0,910.0,192431.0,175.0,128643.0,2021-11-25,지엘팜텍,204840,,,,,,,,,,,,,,,,,471  억원,코스닥 1363위,51886844,100원  l  1주,51886844,331739,0.64%,N/A  l  N/A,"2,390  l  894",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -77원,3.61배  l  251원,,,,,,
큐라클 *,24550.0,350.0,-1.41%,24450.0,24500.0,87874.0,2158.0,103869.0,2021-11-25,큐라클,365270,,,,,,,,,,,,,,,,,"3,328  억원",코스닥 280위,13582968,500원  l  1주,13582968,98005,0.72%,N/A  l  N/A,"62,400  l  24,350",,N/A  l  N/A,,,86.54배,+0.08%,,,,"N/A  l  -2,624원",29.10배  l  842원,,,
넥스트BT *,1385.0,20.0,-1.42%,1380.0,1385.0,570743.0,789.0,762274.0,2021-11-25,넥스트BT,065170,,,,,,,,,,,,,,,,,"1,232  억원",코스닥 805위,88970559,500원  l  1주,88970559,5421928,6.09%,N/A  l  N/A,"2,155  l  1,310",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -303원,1.63배  l  848원,,,,,,
녹십자웰빙 *,10100.0,150.0,-1.46%,10100.0,10150.0,57128.0,577.0,53163.0,2021-11-25,녹십자웰빙,234690,229.0,34.0,27.0,14.85,11.79,,,,,152.0,73.97,,,,,,"1,793  억원",코스닥 571위,17752276,500원  l  1주,17752276,278214,1.57%,N/A  l  N/A,"15,600  l  8,920",63.92배  l  158원,N/A  l  N/A,"2.10배  l  4,813원",,86.54배,+0.08%,,,0.50%,,,,,
일양약품우,26550.0,400.0,-1.48%,26550.0,26600.0,751.0,20.0,1412.0,2021-11-25,일양약품우,007575,,,,,,,,,,,,,,,,,118  억원,코스피 1396위,445080,"2,500원  l  1주",445080,1166,0.26%,N/A  l  N/A,"96,500  l  26,950",,N/A  l  N/A,,,86.54배,+0.08%,44.85배  l  592원,"2.25배  l  11,785원",0.55%,,,,,
JW홀딩스,3515.0,55.0,-1.54%,3530.0,3535.0,33163.0,116.0,34825.0,2021-11-25,JW홀딩스,096760,,,,,,,,,,,,,,,,,"2,402  억원",코스피 568위,68441182,500원  l  1주,68441182,1274026,1.86%,N/A  l  N/A,"6,260  l  3,405",11.82배  l  297원,N/A  l  N/A,"1.73배  l  2,031원",,86.54배,+0.08%,,,2.49%,,,,,
박셀바이오 *,55600.0,900.0,-1.59%,55600.0,55700.0,95752.0,5339.0,172930.0,2021-11-25,박셀바이오,323990,,,,,,,,,,,,,,,,,"8,479  억원",코스닥 93위,15223000,500원  l  1주,15223000,659903,4.33%,N/A  l  N/A,"299,700  l  45,200",N/A  l  -277원,N/A  l  N/A,"25.68배  l  2,169원",,86.54배,+0.08%,,,,,,,,
중앙백신 *,15400.0,250.0,-1.60%,15350.0,15400.0,38011.0,586.0,22695.0,2021-11-25,중앙백신,072020,,,,,,,,,,,,,,,,,"1,529  억원",코스닥 667위,9960000,500원  l  1주,9960000,186991,1.88%,N/A  l  N/A,"22,100  l  14,300",48.42배  l  317원,N/A  l  N/A,"1.67배  l  9,193원",,86.54배,+0.11%,,,0.46%,,,,,
제일바이오 *,3350.0,55.0,-1.62%,3335.0,3345.0,406572.0,1369.0,399921.0,2021-11-25,제일바이오,052670,,,,,,,,,,,,,,,,,980  억원,코스닥 957위,29129064,500원  l  1주,29129064,194823,0.67%,N/A  l  N/A,"4,675  l  3,062",56.08배  l  60원,N/A  l  N/A,"2.38배  l  1,414원",,86.54배,+0.11%,,,,,,,,
동성제약,8230.0,140.0,-1.67%,8200.0,8240.0,32796.0,270.0,278997.0,2021-11-25,동성제약,002210,,,,,,,,,,,,,,,,,"2,148  억원",코스피 605위,26100970,"1,000원  l  1주",26100970,1255653,4.81%,N/A  l  N/A,"17,000  l  7,920",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -301원,"3.78배  l  2,175원",,,,,,
대성미생물 *,14700.0,250.0,-1.67%,14650.0,14750.0,11658.0,172.0,10721.0,2021-11-25,대성미생물,036480,,,,,,,,,,,,,,,,,559  억원,코스닥 1299위,3800000,500원  l  1주,3800000,46263,1.22%,N/A  l  N/A,"27,250  l  14,550",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -70원,"1.55배  l  9,500원",0.58%,,,,,
종근당홀딩스,76100.0,1300.0,-1.68%,76000.0,76100.0,7139.0,545.0,5852.0,2021-11-25,종근당홀딩스,001630,2416.0,122.0,,5.05,,,,,,1617.0,49.36,,,,,,"3,812  억원",코스피 417위,5009861,"2,500원  l  1주",5009861,416264,8.31%,"4.00매수  l  140,000","156,000  l  77,000","6.24배  l  12,203원",N/A  l  N/A,"0.70배  l  109,007원",,86.54배,+0.11%,,,1.84%,,,,,
JW중외제약,22950.0,400.0,-1.71%,22900.0,22950.0,19196.0,441.0,20227.0,2021-11-25,JW중외제약,001060,,,,,,,,,,,,,,,,,"4,943  억원",코스피 363위,21539926,"2,500원  l  1주",21539926,1205148,5.59%,N/A  l  N/A,"37,350  l  22,300",,N/A  l  N/A,,,86.54배,+0.08%,N/A  l  -52원,"2.51배  l  9,135원",1.38%,,,,,
비피도 *,10650.0,200.0,-1.84%,10600.0,10650.0,29080.0,312.0,69689.0,2021-11-25,비피도,238200,,,,,,,,,,,,,,,,,867  억원,코스닥 1046위,8180000,500원  l  1주,8180000,315754,3.86%,N/A  l  N/A,"19,900  l  9,418",18.96배  l  559원,N/A  l  N/A,"1.68배  l  6,306원",,86.54배,+0.08%,,,,,,,,
하이텍팜 *,13150.0,250.0,-1.87%,13050.0,13150.0,9713.0,128.0,13730.0,2021-11-25,하이텍팜,106190,,,,,,,,,,,,,,,,,932  억원,코스닥 996위,7088782,500원  l  1주,7088782,3096948,43.69%,N/A  l  N/A,"29,450  l  12,450",,N/A  l  N/A,,,86.54배,+0.08%,N/A  l  -149원,"0.98배  l  13,385원",0.38%,,,,,
대원제약,15650.0,300.0,-1.88%,15650.0,15700.0,141676.0,2225.0,116084.0,2021-11-25,대원제약,003220,974.0,96.0,,9.86,,,,,,,,10626.0,1.5,,,,"3,322  억원",코스피 470위,21224823,500원  l  1주,21224823,3069403,14.46%,"4.00매수  l  22,667","24,350  l  15,150",,38.00배  l  417원,,,86.54배,+0.08%,96.60배  l  162원,"1.50배  l  10,406원",0.98%,,,,,
휴럼 *,1780.0,35.0,-1.93%,1780.0,1785.0,148420.0,266.0,49336.0,2021-11-25,휴럼,353190,,,,,,,,,,,,,,,,,649  억원,코스닥 1231위,36440420,100원  l  1주,36440420,67514,0.19%,N/A  l  N/A,"4,135  l  1,685",,N/A  l  N/A,,,105.31배,+0.08%,,,,26.57배  l  67원,N/A  l  N/A,,,
에이프로젠제약,905.0,18.0,-1.95%,903.0,906.0,1054101.0,957.0,574365.0,2021-11-25,에이프로젠제약,003060,,,,,,,,,,,,,,,,,"3,603  억원",코스피 437위,398575767,500원  l  1주,398575767,16244176,4.08%,N/A  l  N/A,"1,450  l  921",,N/A  l  N/A,,,86.54배,+0.11%,64.57배  l  14원,"0.71배  l  1,271원",,,,,,
화일약품 *,2695.0,60.0,-2.18%,2680.0,2685.0,114826.0,311.0,332452.0,2021-11-25,화일약품,061250,,,,,,,,,,,,,,,,,"1,769  억원",코스닥 583위,65633553,500원  l  1주,65633553,1710182,2.61%,N/A  l  N/A,"5,883  l  2,550",,N/A  l  N/A,,,86.54배,+0.08%,122.50배  l  22원,"0.98배  l  2,758원",,,,,,
바이넥스 *,14800.0,350.0,-2.31%,14800.0,14850.0,143449.0,2132.0,178383.0,2021-11-25,바이넥스,053030,372.0,42.0,,11.28,,,,,,148.0,102.38,6063.0,2.5,,,,"4,717  억원",코스닥 187위,31761048,500원  l  1주,31761048,1713460,5.39%,"3.67매수  l  26,000","38,800  l  13,150",,27.00배  l  548원,,,86.54배,+0.11%,46.55배  l  319원,"2.59배  l  5,737원",,,,,,
녹십자홀딩스2우,58600.0,1400.0,-2.33%,58600.0,59200.0,713.0,42.0,754.0,2021-11-25,녹십자홀딩스2우,005257,,,,,,,,,,,,,,,,,496  억원,코스피 1043위,845990,500원  l  1주,845990,591,0.07%,N/A  l  N/A,"192,000  l  58,500","18.08배  l  3,242원",N/A  l  N/A,"2.88배  l  20,381원",,86.54배,+0.11%,,,0.85%,,,,,
한주케미칼앤홀딩스 *,1790.0,45.0,-2.45%,1780.0,1790.0,36739.0,66.0,124051.0,2021-11-25,한주케미칼앤홀딩스,043090,,,,,,,,,,,,,,,,,666  억원,코스닥 1216위,37225728,500원  l  1주,37225728,220195,0.59%,N/A  l  N/A,"3,400  l  1,125",N/A  l  -228원,N/A  l  N/A,2.75배  l  652원,,86.54배,+0.08%,,,,,,,,
프레스티지바이오파마,24300.0,800.0,-3.19%,24350.0,24400.0,154783.0,3780.0,141659.0,2021-11-25,프레스티지바이오파마,950210,,,,,,,,,,,,,,,,,"1조  4,633  억원",코스피 184위,60096155,,60096155,37295743,62.06%,N/A  l  N/A,"54,000  l  19,750",N/A  l  -142원,N/A  l  N/A,"2.55배  l  9,567원",,105.31배,+0.11%,,,,,,,,
바이젠셀 *,33700.0,1150.0,-3.30%,33550.0,33600.0,142293.0,4825.0,96030.0,2021-11-25,바이젠셀,308080,,,,,,,,,,,,,,,,,"3,166  억원",코스닥 296위,9435680,500원  l  1주,9435680,28441,0.30%,N/A  l  N/A,"78,000  l  32,850",,N/A  l  N/A,,,86.54배,+0.08%,,,,"N/A  l  -1,385원","2.93배  l  11,434원",,,
메드팩토 *,55300.0,2100.0,-3.66%,55100.0,55200.0,92248.0,5156.0,120713.0,2021-11-25,메드팩토,235980,,,,,,,,,,,,,,,,,"1조  1,342  억원",코스닥 59위,20510342,500원  l  1주,20510342,1029470,5.02%,N/A  l  N/A,"121,900  l  52,300",N/A  l  -932원,N/A  l  N/A,"20.53배  l  2,694원",,86.54배,+0.08%,,,,,,,,
지놈앤컴퍼니 *,36200.0,1500.0,-3.98%,36250.0,36300.0,47485.0,1738.0,41494.0,2021-11-25,지놈앤컴퍼니,314130,,,,,,,,,,,,,,,,,"4,893  억원",코스닥 176위,13496620,500원  l  1주,13496620,50998,0.38%,N/A  l  N/A,"95,000  l  32,950",,N/A  l  N/A,,,86.54배,+0.08%,,,,"N/A  l  -2,688원","5.01배  l  7,242원",,,
뉴트리 *,22300.0,1050.0,-4.50%,22300.0,22350.0,50589.0,1136.0,27185.0,2021-11-25,뉴트리,270870,621.0,62.0,54.0,9.98,8.7,,,,,,,,,,,,"2,037  억원",코스닥 494위,9113224,500원  l  1주,9113224,402706,4.42%,"4.00매수  l  34,500","43,350  l  21,600","8.44배  l  2,649원",N/A  l  N/A,"2.28배  l  9,797원",,86.54배,+0.08%,,,1.12%,,,,,
유유제약2우B,17150.0,850.0,-4.72%,17700.0,17800.0,2108.0,35.0,426.0,2021-11-25,유유제약2우B,000227,,,,,,,,,,,,,,,,,56  억원,코스피 1656위,325560,"1,000원  l  1주",325560,144,0.04%,N/A  l  N/A,"59,000  l  13,315",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -52원,"2.58배  l  6,642원",0.64%,,,,,
에스씨엠생명과학 *,15350.0,900.0,-5.54%,15300.0,15350.0,91062.0,1407.0,41000.0,2021-11-25,에스씨엠생명과학,298060,,,,,,,,,,,,,,,,,"1,839  억원",코스닥 558위,12021854,500원  l  1주,12021854,888671,7.39%,N/A  l  N/A,"60,300  l  15,150",N/A  l  -557원,N/A  l  N/A,"3.31배  l  4,619원",,86.54배,+0.11%,,,,,,,,
씨티씨바이오 *,7490.0,740.0,-8.99%,7370.0,7390.0,390673.0,2981.0,136664.0,2021-11-25,씨티씨바이오,060590,,,,,,,,,,,,,,,,,"1,763  억원",코스닥 585위,23563272,500원  l  1주,23563272,1219072,5.17%,N/A  l  N/A,"14,500  l  5,680",,N/A  l  N/A,,,86.54배,+0.11%,N/A  l  -404원,"2.04배  l  3,671원",,,,,,
신풍제약,32150.0,4300.0,-11.80%,31800.0,31850.0,9359181.0,300126.0,11653906.0,2021-11-25,신풍제약,019170,,,,,,,,,,,,,,,,,"1조  6,982  억원",코스피 166위,52984990,500원  l  1주,52984990,4867944,9.19%,N/A  l  N/A,"201,500  l  34,900",534.17배  l  60원,N/A  l  N/A,"4.49배  l  7,145원",,86.54배,+0.11%,,,0.31%,,,,,
신풍제약우,40600.0,6200.0,-13.25%,40300.0,40450.0,241089.0,9720.0,413262.0,2021-11-25,신풍제약우,019175,,,,,,,,,,,,,,,,,893  억원,코스피 887위,2200000,500원  l  1주,2200000,6029,0.27%,N/A  l  N/A,"197,000  l  43,650",676.67배  l  60원,N/A  l  N/A,"5.68배  l  7,145원",,86.54배,+0.08%,,,0.28%,,,,,
